,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
,,                                        56,,FOWAD,,,"                                        1,257.00",,                                        8.10,,                                        0.65,,"                                        1,273.80",,"                                        1,275.00",,"                                        1,237.00",,"                                        3,970.00",,"                                        1,248.90",
,,                                        57,,GBBD85,,,                                        976.00,,                                        -9.50,,                                        -0.96,,                                        976.00,,                                        976.00,,                                        976.00,,                                        26.00,,                                        985.50,
,,                                        58,,GBBL,,,                                        369.90,,                                        1.90,,                                        0.52,,                                        371.00,,                                        373.20,,                                        366.00,,"                                        21,590.00",,                                        368.00,
,,                                        59,,GBIME,,,                                        190.00,,                                        -2.00,,                                        -1.04,,                                        192.30,,                                        195.00,,                                        189.00,,"                                        97,055.00",,                                        192.00,
,,                                        60,,GBLBS,,,                                        757.00,,                                        1.10,,                                        0.15,,                                        766.00,,                                        769.00,,                                        751.60,,"                                        9,055.00",,                                        755.90,
,,                                        61,,GCIL,,,                                        504.00,,                                        12.00,,                                        2.44,,                                        486.00,,                                        508.00,,                                        486.00,,"                                        52,298.00",,                                        492.00,
,,                                        62,,GFCL,,,                                        460.00,,                                        -2.90,,                                        -0.63,,                                        467.00,,                                        467.00,,                                        457.70,,"                                        10,673.00",,                                        462.90,
,,                                        63,,GHL,,,                                        149.50,,                                        1.40,,                                        0.95,,                                        150.00,,                                        152.20,,                                        148.00,,"                                        67,993.00",,                                        148.10,
,,                                        64,,GIBF1,,,                                        8.91,,                                        0.67,,                                        8.13,,                                        8.17,,                                        8.91,,                                        8.17,,"                                        3,300.00",,                                        8.24,
,,                                        65,,GILB,,,"                                        1,255.00",,                                        71.00,,                                        6.00,,"                                        1,164.00",,"                                        1,255.00",,"                                        1,164.00",,"                                        28,159.00",,"                                        1,184.00",
,,                                        66,,GLBSL,,,"                                        1,877.00",,                                        2.00,,                                        0.11,,"                                        1,840.00",,"                                        1,948.00",,"                                        1,805.00",,"                                        4,851.00",,"                                        1,875.00",
,,                                        67,,GLH,,,                                        211.40,,                                        -0.30,,                                        -0.14,,                                        209.00,,                                        213.00,,                                        208.00,,"                                        19,216.00",,                                        211.70,
,,                                        68,,GMFBS,,,"                                        1,268.00",,                                        42.00,,                                        3.43,,"                                        1,250.50",,"                                        1,273.80",,"                                        1,230.00",,"                                        2,049.00",,"                                        1,226.00",
,,                                        69,,GMFIL,,,                                        395.00,,                                        12.80,,                                        3.35,,                                        389.80,,                                        397.40,,                                        387.00,,"                                        14,370.00",,                                        382.20,
,,                                        70,,GRDBL,,,                                        430.00,,                                        -2.00,,                                        -0.46,,                                        425.10,,                                        438.80,,                                        425.00,,"                                        5,388.00",,                                        432.00,
,,                                        71,,GUFL,,,                                        672.00,,                                        1.10,,                                        0.16,,                                        665.10,,                                        680.00,,                                        665.00,,"                                        44,813.00",,                                        670.90,
,,                                        72,,GVL,,,                                        439.00,,                                        1.00,,                                        0.23,,                                        430.00,,                                        440.00,,                                        430.00,,"                                        12,196.00",,                                        438.00,
,,                                        73,,GWFD83,,,"                                        1,220.00",,                                        0.00,,                                        0.00,,"                                        1,220.00",,"                                        1,220.00",,"                                        1,220.00",,                                        500.00,,"                                        1,220.00",
,,                                        74,,H8020,,,                                        9.15,,                                        0.50,,                                        5.78,,                                        8.61,,                                        9.15,,                                        8.61,,"                                        21,100.00",,                                        8.65,
,,                                        75,,HATHY,,,                                        908.00,,                                        46.00,,                                        5.34,,                                        877.00,,                                        926.90,,                                        862.20,,"                                        115,123.00",,                                        862.00,
,,                                        76,,HBL,,,                                        196.00,,                                        -2.00,,                                        -1.01,,                                        198.90,,                                        199.00,,                                        192.10,,"                                        22,745.00",,                                        198.00,
,,                                        77,,HDHPC,,,                                        132.90,,                                        0.90,,                                        0.68,,                                        133.90,,                                        134.50,,                                        131.90,,"                                        78,181.00",,                                        132.00,
,,                                        78,,HDL,,,"                                        1,328.50",,                                        6.50,,                                        0.49,,"                                        1,322.00",,"                                        1,330.00",,"                                        1,318.00",,"                                        22,264.00",,"                                        1,322.00",
,,                                        79,,HEI,,,                                        616.00,,                                        2.90,,                                        0.47,,                                        620.00,,                                        624.00,,                                        611.00,,"                                        22,830.00",,                                        613.10,
,,                                        80,,HEIP,,,                                        369.90,,                                        -8.00,,                                        -2.12,,                                        385.40,,                                        385.40,,                                        357.10,,"                                        1,686.00",,                                        377.90,
,,                                        81,,HHL,,,                                        347.00,,                                        -2.00,,                                        -0.57,,                                        355.90,,                                        355.90,,                                        345.00,,"                                        10,785.00",,                                        349.00,
